,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
81,11.8,0.014087057,3,23,0,2,1427.4752,0,1,0,0
82,16.75,0.045230944,4,11,1,0,4693.89,0,0,1,0
83,18.85,0.293417759,4,35,0,2,583.2408,1,0,0,0
84,12.6,0.031382044,3,35,1,0,3091.9752,0,0,0,1
85,15.5,0.12639886,3,13,0,1,2479.4392,0,1,0,0
86,6.055,0.025403898,3,16,0,1,2716.464,0,1,0,0
87,20.2,0.039057677,3,35,1,0,3285.723,0,0,0,1
88,6.305,0.123115764,2,23,0,2,661.8052,0,1,0,0
89,20.85,0.039624006,2,21,1,2,1523.3504,0,1,0,0
90,20.75,0.040421193,2,22,0,0,369.519,1,0,0,0
91,8.895,0.105274111,1,21,1,2,690.4346,0,1,0,0
92,19.6,0.033970195,1,18,0,1,1381.535,0,1,0,0
93,19.7,0.053212652,1,16,0,1,622.523,0,1,0,0
94,9.8,0.024378706,2,16,0,1,1274.3412,0,1,0,0
95,7.93,0.009714595,2,35,0,2,487.3656,1,0,0,0
96,12.15,0.131383762,4,21,1,2,1231.73,0,1,0,0
97,8.75,0.07461309,4,16,0,1,3755.112,0,1,0,0
98,12.15,0.028459761,3,35,1,0,4363.6532,0,0,0,1
99,8.75,0.074627201,4,23,0,2,1314.2892,0,1,0,0
100,13.3,0.063695084,3,18,0,1,1805.6496,0,1,0,0
101,20.6,0.045797829,3,35,1,0,2854.9504,0,0,0,1
102,8.31,0.115857223,3,21,1,2,3896.2616,0,1,0,0
103,16.75,0.024832806,1,33,2,0,667.7974,0,1,0,0
104,19.75,0.034027909,4,11,1,0,3185.853,0,0,1,0
105,17.1,0.0467696,2,33,2,0,2247.7408,0,1,0,0
106,10.5,0.116576702,3,33,2,0,1794.331,0,1,0,0
107,6.635,0.0,2,18,0,1,2530.7058,0,1,0,0
108,9.395,0.278974075,4,35,0,2,679.116,1,0,0,0
109,14.15,0.035913805,1,33,2,0,812.276,0,1,0,0
110,13.3,0.079806266,4,23,0,2,699.09,0,1,0,0
111,8.89,0.005505481,2,13,0,1,2732.4432,0,1,0,0
112,6.69,0.064625342,3,35,0,2,176.437,1,0,0,0
113,6.195,0.071636937,2,35,1,0,4097.3332,0,0,0,1
114,9.1,0.0,3,18,0,1,3151.8972,0,1,0,0
115,7.5,0.032677678,4,21,1,2,5942.265,0,1,0,0
116,16.85,0.160760054,4,13,0,1,4843.695,0,1,0,0
117,7.485,0.06911065,2,16,0,1,2542.0244,0,1,0,0
118,11.6,0.041177505,2,13,0,1,2552.6772,0,1,0,0
119,11.65,0.040081193,4,11,1,0,1141.847,0,0,1,0
120,13.0,0.035307322,1,13,0,1,680.4476,0,1,0,0
121,12.65,0.063017847,3,18,0,1,2085.9514,0,1,0,0
122,20.25,0.171938781,1,22,0,0,186.424,1,0,0,0
123,8.6,0.040197932,4,16,0,1,3036.048,0,1,0,0
124,12.6,0.049058014,1,13,0,1,866.8716,0,1,0,0
125,17.7,0.01161096,2,16,0,1,868.869,0,1,0,0
126,14.15,0.183507295,1,23,0,2,1137.1864,0,1,0,0
127,19.25,0.102349519,1,13,0,1,928.1252,0,1,0,0
128,8.88,0.086708987,3,33,2,0,762.341,0,1,0,0
129,20.5,0.032835147,1,18,0,1,707.0796,0,1,0,0
130,12.0,0.033809913,3,35,1,0,7968.2944,0,0,0,1
131,13.5,0.07266912,3,23,0,2,1438.128,0,1,0,0
132,12.15,0.144338493,4,35,1,0,6976.2524,0,0,0,1
133,8.89,0.009163216,2,22,0,0,101.2016,1,0,0,0
134,7.855,0.011307038,4,11,1,0,952.094,0,0,1,0
135,7.235,0.076855628,2,23,0,2,1969.4364,0,1,0,0
136,18.25,0.059956876,3,35,1,0,5262.4832,0,0,0,1
137,6.92,0.038532062,1,18,0,1,1314.2892,0,1,0,0
138,9.3,0.043209581,1,13,0,1,535.3032,0,1,0,0
139,18.5,0.056816465,2,22,0,0,263.6568,1,0,0,0
140,8.02,0.019866705,3,16,0,1,1402.1748,0,1,0,0
141,9.195,0.048331717,2,13,0,1,1693.7952,0,1,0,0
142,12.8,0.091221855,2,18,0,1,2143.876,0,1,0,0
143,16.6,0.027622076,3,21,1,2,2676.516,0,1,0,0
144,14.0,0.0,1,16,0,1,905.488,0,1,0,0
145,18.6,0.039355947,4,21,1,2,7370.406,0,1,0,0
146,16.0,0.060836524,4,16,0,1,6301.1312,0,1,0,0
147,17.6,0.082316506,3,16,0,1,1597.92,0,1,0,0
148,21.25,0.155350299,3,16,0,1,529.311,0,1,0,0
149,7.235,0.076841095,2,16,0,1,1969.4364,0,1,0,0
150,14.6,0.151419185,1,13,0,1,1034.6532,0,1,0,0
151,13.85,0.026001976,3,11,1,0,1794.331,0,0,1,0
152,13.65,0.073209447,4,11,1,0,2768.3964,0,0,1,0
153,9.5,0.041683481,1,35,1,0,898.83,0,0,0,1
154,7.365,0.042560252,4,23,0,2,3169.208,0,1,0,0
155,18.35,0.014081156,4,11,1,0,3589.9936,0,0,1,0
156,5.465,0.0,2,11,1,0,262.3252,0,0,1,0
157,18.6,0.152918384,2,13,0,1,1910.1802,0,1,0,0
158,13.85,0.030969274,2,13,0,1,1701.7848,0,1,0,0
159,14.0,0.060376776,3,33,2,0,2471.4496,0,1,0,0
160,14.0,0.04192285,1,33,2,0,1331.6,0,1,0,0
161,21.35,0.077367431,2,35,1,0,1808.9786,0,0,0,1
162,5.905,0.045838211,4,11,1,0,3315.684,0,0,1,0
163,7.27,0.071077939,2,23,0,2,2618.5914,0,1,0,0
164,6.155,0.094659871,4,23,0,2,2769.728,0,1,0,0
165,19.5,0.077608838,4,13,0,1,5375.0034,0,1,0,0
166,15.2,0.021327477,4,13,0,1,2838.9712,0,1,0,0
167,12.15,0.042485444,2,11,1,0,1743.0644,0,0,1,0
168,14.6,0.025578526,4,35,1,0,5555.4352,0,0,0,1
169,12.6,0.0489808,1,11,1,0,619.194,0,0,1,0
170,14.5,0.019471688,3,16,0,1,2120.573,0,1,0,0
171,16.6,0.122918852,3,13,0,1,3823.0236,0,1,0,0
172,11.8,0.057373797,3,33,2,0,1360.2294,0,1,0,0
173,13.1,0.044155597,3,33,2,0,3969.4996,0,1,0,0
174,17.7,0.291865402,2,22,0,0,345.5502,1,0,0,0
175,17.85,0.0,4,22,0,0,585.2382,1,0,0,0
176,12.3,0.064750025,1,18,0,1,1010.6844,0,1,0,0
177,11.8,0.098312421,1,22,0,0,161.1236,1,0,0,0
178,9.395,0.191013663,1,35,0,2,42.6112,1,0,0,0
179,11.1,0.176573035,3,18,0,1,3010.7476,0,1,0,0
180,14.0,0.060134441,3,35,1,0,6024.1584,0,0,0,1
181,11.3,0.007294652,4,18,0,1,988.713,0,1,0,0
182,10.0,0.128478462,2,35,0,2,239.688,1,0,0,0
183,5.75,0.075107656,2,33,2,0,1374.2112,0,1,0,0
184,6.215,0.049381406,4,35,1,0,4739.8302,0,0,0,1
185,11.35,0.045165796,2,11,1,0,1012.016,0,0,1,0
186,11.1,0.09415375,3,35,0,2,657.8104,1,0,0,0
187,14.0,0.028907832,2,21,1,2,778.986,0,1,0,0
188,19.75,0.018059621,3,18,0,1,2336.958,0,1,0,0
189,6.525,0.090436094,1,21,1,2,2233.0932,0,1,0,0
190,10.3,0.146399712,2,21,1,2,1661.8368,0,1,0,0
191,5.78,0.074264356,4,21,1,2,4745.8224,0,1,0,0
192,11.85,0.050186726,3,18,0,1,3124.5994,0,1,0,0
193,16.35,0.020631654,1,11,1,0,467.3916,0,0,1,0
194,17.6,0.01561108,3,35,1,0,5070.7328,0,0,0,1
195,10.5,0.041395445,1,23,0,2,540.6296,0,1,0,0
196,19.0,0.097313129,1,23,0,2,992.7078,0,1,0,0
197,14.6,0.059582996,4,21,1,2,6008.845,0,1,0,0
198,15.6,0.098663652,1,35,1,0,2105.2596,0,0,0,1
199,4.615,0.101338651,4,35,1,0,5359.69,0,0,0,1
200,18.75,0.052146456,2,18,0,1,745.696,0,1,0,0
201,5.26,0.041764487,3,16,0,1,3275.736,0,1,0,0
202,18.25,0.054344186,2,18,0,1,1701.7848,0,1,0,0
203,10.3,0.078362484,3,35,1,0,6704.606,0,0,0,1
204,15.1,0.052339069,4,23,0,2,4119.9704,0,1,0,0
205,15.5,0.042464962,1,22,0,0,327.5736,1,0,0,0
206,13.65,0.065732883,1,21,1,2,780.9834,0,1,0,0
207,16.1,0.023625114,4,18,0,1,3630.6074,0,1,0,0
208,5.175,0.051643608,2,35,0,2,317.5866,1,0,0,0
209,12.85,0.165694219,1,22,0,0,231.6984,1,0,0,0
210,9.5,0.041878397,1,16,0,1,133.16,0,1,0,0
211,13.8,0.058091482,4,16,0,1,5650.6446,0,1,0,0
212,5.78,0.0,4,13,0,1,2636.568,0,1,0,0
213,19.7,0.026903714,2,18,0,1,1272.3438,0,1,0,0
214,14.65,0.0,3,22,0,0,324.9104,1,0,0,0
215,6.67,0.150554711,2,22,0,0,131.1626,1,0,0,0
216,6.11,0.0,2,22,0,0,260.9936,1,0,0,0
217,13.65,0.134975628,4,22,0,0,260.9936,1,0,0,0
218,17.2,0.15616879,3,33,2,0,3690.5294,0,1,0,0
219,6.32,0.0,1,16,0,1,1139.1838,0,1,0,0
220,4.88,0.133700752,1,21,1,2,1995.4026,0,1,0,0
221,5.425,0.115119905,1,13,0,1,1416.8224,0,1,0,0
222,15.85,0.110030997,1,23,0,2,265.6542,0,1,0,0
223,7.5,0.051038045,2,13,0,1,3552.7088,0,1,0,0
224,12.65,0.062837968,3,33,2,0,2406.867,0,1,0,0
225,9.06,0.017116983,4,35,0,2,213.056,1,0,0,0
226,20.75,0.024129332,2,33,2,0,2956.152,0,1,0,0
227,8.93,0.049754975,3,35,0,2,153.134,1,0,0,0
228,9.0,0.0,1,16,0,1,1649.8524,0,1,0,0
229,16.7,0.101561568,3,35,1,0,3101.2964,0,0,0,1
230,6.36,0.005949644,3,35,1,0,4769.1254,0,0,0,1
231,5.365,0.13956116,3,35,1,0,3435.528,0,0,0,1
232,14.1,0.126035694,1,18,0,1,1133.8574,0,1,0,0
233,7.55,0.027164679,3,16,0,1,2603.278,0,1,0,0
234,13.0,0.099325278,1,23,0,2,605.878,0,1,0,0
235,9.3,0.04357366,4,35,1,0,2293.0152,0,0,0,1
236,17.6,0.082741482,2,35,0,2,119.1782,1,0,0,0
237,12.3,0.064565202,1,33,2,0,1929.4884,0,1,0,0
238,7.05,0.084554569,2,35,1,0,2074.6328,0,0,0,1
239,11.8,0.058451805,1,35,1,0,241.6854,0,0,0,1
240,17.25,0.113748685,4,18,0,1,6795.1548,0,1,0,0
241,15.85,0.020603511,1,13,0,1,639.168,0,1,0,0
242,18.85,0.052044976,4,16,0,1,3248.4382,0,1,0,0
243,16.35,0.062764429,4,13,0,1,7222.5984,0,1,0,0
244,14.1,0.087977262,4,16,0,1,3225.1352,0,1,0,0
245,7.905,0.010010425,4,16,0,1,3755.112,0,1,0,0
246,12.0,0.033946163,3,33,2,0,3440.8544,0,1,0,0
247,12.15,0.058414678,3,16,0,1,974.7312,0,1,0,0
248,10.1,0.027106459,1,21,1,2,535.969,0,1,0,0
249,17.5,0.027022883,4,13,0,1,5259.82,0,1,0,0
250,18.35,0.058153409,3,35,0,2,306.268,1,0,0,0
251,17.1,0.128937661,2,11,1,0,1779.0176,0,0,1,0
252,7.785,0.088846306,1,21,1,2,759.012,0,1,0,0
253,11.8,0.09357779,2,33,2,0,1877.556,0,1,0,0
254,13.15,0.165694678,3,18,0,1,3779.0808,0,1,0,0
255,6.4,0.148392623,1,35,0,2,41.2796,1,0,0,0
256,8.5,0.098438394,1,13,0,1,259.662,0,1,0,0
257,8.645,0.143303291,2,33,2,0,193.082,0,1,0,0
258,17.6,0.076276208,2,18,0,1,1687.803,0,1,0,0
259,9.1,0.175103435,2,13,0,1,4655.9394,0,1,0,0
260,12.8,0.023511371,4,33,2,0,4950.8888,0,1,0,0
261,7.63,0.06105276,2,16,0,1,1418.154,0,1,0,0
262,9.285,0.049559042,4,13,0,1,1225.072,0,1,0,0
263,13.6,0.119418124,4,18,0,1,5359.69,0,1,0,0
264,8.895,0.072545601,3,18,0,1,1764.37,0,1,0,0
265,16.35,0.090486828,4,33,2,0,2553.343,0,1,0,0
266,17.6,0.056245075,1,33,2,0,1006.6896,0,1,0,0
267,7.975,0.014618973,1,33,2,0,1081.925,0,1,0,0
268,15.85,0.043479126,1,13,0,1,308.9312,0,1,0,0
269,15.7,0.045166237,3,33,2,0,2516.724,0,1,0,0
270,8.985,0.057827101,2,23,0,2,1428.141,0,1,0,0
271,20.35,0.089394766,4,33,2,0,2093.2752,0,1,0,0
272,6.59,0.10550944,1,33,2,0,1929.4884,0,1,0,0
273,19.85,0.005234153,4,16,0,1,5829.7448,0,1,0,0
274,16.85,0.036390174,1,23,0,2,2082.6224,0,1,0,0
275,19.35,0.03292824,3,35,1,0,7298.4996,0,0,0,1
276,16.75,0.081252534,4,33,2,0,7452.9652,0,1,0,0
277,17.6,0.076552407,2,13,0,1,450.0808,0,1,0,0
278,7.905,0.016758569,4,22,0,0,500.6816,1,0,0,0
279,17.85,0.044248175,2,35,1,0,3668.558,0,0,0,1
280,7.785,0.038288087,2,11,1,0,736.3748,0,0,1,0
281,7.825,0.186032678,4,16,0,1,6088.0752,0,1,0,0
282,9.0,0.031867464,2,35,1,0,2125.2336,0,0,0,1
283,20.75,0.021370201,3,13,0,1,2277.036,0,1,0,0
284,11.1,0.193772568,4,35,0,2,573.2538,1,0,0,0
285,6.26,0.009866049,3,16,0,1,2267.049,0,1,0,0
286,18.2,0.082551042,3,22,0,0,296.9468,1,0,0,0
287,13.0,0.099729888,1,11,1,0,559.272,0,0,1,0
288,20.25,0.018801549,4,16,0,1,5559.43,0,1,0,0
289,8.695,0.119721451,2,21,1,2,1237.7222,0,1,0,0
290,7.27,0.071222087,2,18,0,1,569.259,0,1,0,0
291,10.695,0.060371962,3,35,1,0,3866.9664,0,0,0,1
292,12.85,0.033287541,4,18,0,1,1379.5376,0,1,0,0
293,7.075,0.05858462,3,11,1,0,1869.5664,0,0,1,0
294,20.2,0.11679292,4,35,1,0,5499.508,0,0,0,1
295,8.195,0.031452265,2,21,1,2,925.462,0,1,0,0
296,7.09,0.00721395,1,16,0,1,583.2408,0,1,0,0
297,6.095,0.081196619,2,23,0,2,1418.154,0,1,0,0
298,19.35,0.049916364,1,13,0,1,942.7728,0,1,0,0
299,6.15,0.04627095,2,23,0,2,2364.9216,0,1,0,0
300,17.35,0.02747716,1,35,1,0,3251.7672,0,0,0,1
301,20.2,0.104704537,2,35,0,2,254.3356,1,0,0,0
302,17.7,0.012540003,3,16,0,1,5895.659,0,1,0,0
303,17.85,0.147023834,1,11,1,0,1134.5232,0,0,1,0
304,9.395,0.159657596,4,18,0,1,7696.648,0,1,0,0
305,15.75,0.141398626,4,13,0,1,2775.7202,0,1,0,0
306,7.475,0.148821808,4,18,0,1,5317.0788,0,1,0,0
307,7.075,0.0,2,11,1,0,874.8612,0,0,1,0
308,6.445,0.029691762,1,23,0,2,1039.9796,0,1,0,0
309,19.1,0.096715523,4,16,0,1,3038.0454,0,1,0,0
310,20.25,0.014790559,4,16,0,1,3848.324,0,1,0,0
311,15.0,0.054378253,1,23,0,2,527.3136,0,1,0,0
312,6.67,0.123428594,1,23,0,2,2390.8878,0,1,0,0
313,13.0,0.029943463,1,35,1,0,1677.816,0,0,0,1
314,16.7,0.052368061,2,33,2,0,801.6232,0,1,0,0
315,7.07,0.093861144,2,18,0,1,1267.0174,0,1,0,0
316,6.48,0.033968647,3,18,0,1,886.8456,0,1,0,0
317,19.0,0.173154079,4,22,0,0,452.744,1,0,0,0
318,13.35,0.139735226,3,18,0,1,3877.6192,0,1,0,0
319,5.98,0.043351896,3,35,1,0,4414.254,0,0,0,1
320,9.3,0.042086652,2,35,1,0,5448.9072,0,0,0,1
321,9.695,0.12848269,4,21,1,2,4950.8888,0,1,0,0
322,15.0,0.049357077,1,13,0,1,958.752,0,1,0,0
323,11.15,0.008326735,3,13,0,1,1956.1204,0,1,0,0
324,20.85,0.021362955,2,21,1,2,2404.2038,0,1,0,0
325,9.8,0.151420934,4,22,0,0,387.4956,1,0,0,0
326,16.35,0.032511818,3,33,2,0,994.7052,0,1,0,0
327,9.6,0.022323658,2,18,0,1,1754.383,0,1,0,0
328,18.0,0.019292355,2,35,1,0,3340.9844,0,0,0,1
329,13.35,0.048124443,4,18,0,1,3918.8988,0,1,0,0
330,20.7,0.09261307,1,33,2,0,306.268,0,1,0,0
331,15.1,0.094697274,3,35,1,0,4278.4308,0,0,0,1
332,16.2,0.035984104,4,18,0,1,4425.5726,0,1,0,0
333,13.8,0.056596985,4,35,1,0,9267.936,0,0,0,1
334,15.6,0.2047,1,35,0,2,229.701,1,0,0,0
335,21.1,0.020618324,2,35,1,0,2055.9904,0,0,0,1
336,5.5,0.04709821,2,23,0,2,3339.6528,0,1,0,0
337,15.1,0.087584126,4,18,0,1,6410.3224,0,1,0,0
338,15.7,0.038078899,2,13,0,1,1992.0736,0,1,0,0
339,7.895,0.095102092,2,13,0,1,2870.9296,0,1,0,0
340,17.2,0.011953902,3,35,1,0,2807.0128,0,0,0,1
341,17.35,0.062799379,1,33,2,0,539.298,0,1,0,0
342,7.285,0.031125709,3,33,2,0,4377.635,0,1,0,0
343,20.25,0.026005891,3,18,0,1,2716.464,0,1,0,0
344,18.75,0.09246392,4,35,0,2,383.5008,1,0,0,0
345,15.85,0.107765165,1,21,1,2,703.0848,0,1,0,0
346,6.17,0.010647477,1,21,1,2,1937.478,0,1,0,0
347,19.5,0.015749341,3,21,1,2,3307.6944,0,1,0,0
348,19.2,0.077628053,4,21,1,2,3142.576,0,1,0,0
349,16.7,0.0,3,11,1,0,2554.0088,0,0,1,0
350,20.85,0.056695731,2,11,1,0,1869.5664,0,0,1,0
351,14.5,0.063993068,4,18,0,1,5494.8474,0,1,0,0
352,11.395,0.069529262,4,33,2,0,6093.4016,0,1,0,0
353,7.97,0.034452949,3,23,0,2,2586.633,0,1,0,0
354,7.71,0.06670068,1,21,1,2,1255.6988,0,1,0,0
355,19.25,0.034699737,2,23,0,2,4093.3384,0,1,0,0
356,7.075,0.058346939,2,23,0,2,3163.8816,0,1,0,0
357,19.35,0.065203103,3,35,1,0,5033.448,0,0,0,1
358,11.6,0.078929571,1,23,0,2,1137.1864,0,1,0,0
359,8.985,0.182514881,2,35,1,0,2696.49,0,0,0,1
360,12.1,0.016895293,3,11,1,0,898.83,0,0,1,0
361,10.0,0.073379745,2,23,0,2,2756.412,0,1,0,0
362,14.35,0.08075758,1,18,0,1,878.856,0,1,0,0
363,10.395,0.112271498,1,21,1,2,659.142,0,1,0,0
364,17.7,0.153741385,3,35,0,2,182.4292,1,0,0,0
365,8.1,0.127929521,4,33,2,0,3610.6334,0,1,0,0
366,8.05,0.07838564,4,16,0,1,5153.292,0,1,0,0
367,9.195,0.078502143,2,13,0,1,2588.6304,0,1,0,0
368,20.7,0.047684831,4,11,1,0,1286.3256,0,0,1,0
369,15.7,0.123159656,2,13,0,1,1230.3984,0,1,0,0
370,15.1,0.0,1,35,1,0,1733.7432,0,0,0,1
371,18.35,0.053392944,4,35,0,2,384.8324,1,0,0,0
372,16.5,0.036715907,3,18,0,1,3969.4996,0,1,0,0
373,9.0,0.065236932,3,16,0,1,7763.228,0,1,0,0
374,6.785,0.041947547,1,33,2,0,809.6128,0,1,0,0
375,19.5,0.082888496,3,11,1,0,1253.7014,0,0,1,0
376,7.575,0.055390121,4,23,0,2,5715.2272,0,1,0,0
377,18.2,0.012194556,1,33,2,0,1464.76,0,1,0,0
378,16.75,0.060495243,3,33,2,0,3251.1014,0,1,0,0
379,7.47,0.0,4,16,0,1,4274.436,0,1,0,0
380,20.35,0.014753811,4,35,1,0,5375.0034,0,0,0,1
381,18.2,0.160707489,1,35,1,0,1318.284,0,0,0,1
382,13.85,0.085622362,2,11,1,0,2251.7356,0,0,1,0
383,6.635,0.046350909,1,13,0,1,1176.4686,0,1,0,0
384,6.11,0.102920886,2,23,0,2,3523.4136,0,1,0,0
385,15.25,0.026604781,1,16,0,1,610.5386,0,1,0,0
386,15.85,0.0,2,16,0,1,1237.7222,0,1,0,0
387,15.2,0.031860325,4,22,0,0,474.0496,1,0,0,0
388,14.65,0.0,1,35,1,0,717.7324,0,0,0,1
389,20.75,0.021250002,3,23,0,2,2580.6408,0,1,0,0
390,10.195,0.159936948,3,23,0,2,2552.6772,0,1,0,0
391,7.605,0.129503146,3,18,0,1,3914.904,0,1,0,0
392,18.0,0.142688846,1,23,0,2,796.9626,0,1,0,0
393,13.35,0.179484411,4,35,0,2,916.1408,1,0,0,0
394,18.35,0.089163056,4,18,0,1,3259.7568,0,1,0,0
395,6.59,0.105761491,1,21,1,2,1677.816,0,1,0,0
396,13.8,0.056960814,4,21,1,2,3707.1744,0,1,0,0
397,21.2,0.00704098,3,23,0,2,2954.1546,0,1,0,0
398,10.5,0.011026594,3,11,1,0,2652.5472,0,0,1,0
399,8.97,0.093203257,1,18,0,1,1037.3164,0,1,0,0
400,10.895,0.026916794,1,35,1,0,717.7324,0,0,0,1
401,10.6,0.035264298,1,18,0,1,426.112,0,1,0,0
402,13.65,0.015908424,4,16,0,1,6911.004,0,1,0,0
403,19.0,0.017719277,4,23,0,2,3811.0392,0,1,0,0
404,15.6,0.035334201,2,35,1,0,2277.036,0,0,0,1
405,6.8,0.065652494,1,35,0,2,48.6034,1,0,0,0
406,6.865,0.056919038,4,21,1,2,5770.4886,0,1,0,0
407,10.8,0.048143292,1,23,0,2,690.4346,0,1,0,0
408,16.7,0.022047313,2,33,2,0,1890.2062,0,1,0,0
409,18.85,0.090427268,2,35,1,0,3195.84,0,0,0,1
410,15.15,0.027779254,3,23,0,2,1504.708,0,1,0,0
411,10.5,0.0,4,22,0,0,711.0744,1,0,0,0
412,17.6,0.008033611,3,11,1,0,4311.055,0,0,1,0
